,,Da vinciDeomon,,,,,
,,,,,,,
,,,,,,,
Time Allocation,,,,,,,
Seasons,,Episods,,Yre,Month,Day,
,,,,,,,
1,,1,,20,9,24,
,,2,,20,9,24,
,,3,,20,9,24,
,,4,,20,9,25,
,,5,,20,9,25,
,,6,,20,9,25,
,,7,,20,9,26,
,,8,,20,9,26,
,,,,,,,
2,,1,,21,2,23,
,,2,,21,2,23,
,,3,,21,2,24,
,,4,,21,2,27,
,,5,,21,2,27,
,,6,,21,2,27,
,,7,,21,2,27,
,,8,,21,2,27,
,,9,,21,2,28,
,,10,,21,2,28,
,,,,,,,
3,,1,,21,3,1,
,,2,,21,3,1,
,,3,,21,3,1,
,,4,,21,3,1,
,,5,,21,3,1,
,,6,,21,3,1,
,,7,,21,3,2,
,,8,,21,3,2,
,,9,,21,3,2,
,,10,,21,3,2,
,,,,,,,
